_id,parentId,schoolId,name,rollNo,admissionNo,fatherName,occupation,motherName,mobileNumber,address,email,DOB,isRegistered,roles,profilePictureUrl,parentProfilePictureUrl,gender
596393970148403c09545001,596393970148403c09546001,596393970148403c09541001,Lois,1,70001,JAMES,Sofware Engineer,MARY,9999999999,923 North 1400 East,danica_bruschke@gmail.com,        01/02/2013,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child2.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent1.jpeg,male
596393970148403c09545002,596393970148403c09546002,596393970148403c09541001,Alex,2,70002,JOHN,Sofware Engineer,PATRICIA,5555588888,931 South 300 West,wilda@gmail.com,        02/03/2013,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child3.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent2.jpg,male
596393970148403c09545003,596393970148403c09546003,596393970148403c09541001,Elizabeth,3,70003,ROBERT,Sofware Engineer,LINDA,9629889684,1726 East 1330 North,elvera.benimadho@gmail.com,        03/24/2011,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child1.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent1.jpeg,female
596393970148403c09545004,596393970148403c09546004,596393970148403c09541001,Emmelie,4,70004,MICHAEL,Sofware Engineer,BARBARA,9629889685,2710 West 3700 North,carma@gmail.com,        04/11/2010,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child1.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent1.jpeg,female
596393970148403c09545005,596393970148403c09546002,596393970148403c09541001,Anna,5,70005,JOHN,Sofware Engineer,PATRICIA,5555588888,931 South 300 West,wilda@gmail.com,        05/05/2013,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child1.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent2.jpg,female
596393970148403c09545006,596393970148403c09546006,596393970148403c09541001,Daniel,6,70006,DAVID,Sofware Engineer,JENNIFER,9629889687,44 West 300 South,natalie.fern@gmail.com,        06/26/2008,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child3.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent1.jpeg,male
596393970148403c09545007,596393970148403c09546007,596393970148403c09541001,Joseph,7,70007,RICHARD,Sofware Engineer,MARIA,9629889688,92 South 200 East,lisha@gmail.com,        07/12/2013,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child2.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent2.jpg,male
596393970148403c09545008,596393970148403c09546008,596393970148403c09541001,Jake,8,70008,CHARLES,Sofware Engineer,SUSAN,9629889689,103 South 1230 East,arlene_klusman@gmail.com,        08/19/2012,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child3.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent2.jpg,male
596393970148403c09545009,596393970148403c09546009,596393970148403c09541001,Jake,9,70009,JOSEPH,Sofware Engineer,MARGARET,9629889690,103 South 1230 East,alease@gmail.com,        09/16/2011,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child2.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent1.jpeg,male
596393970148403c09545010,596393970148403c09546010,596393970148403c09541001,Sara,10,70010,THOMAS,Sofware Engineer,DOROTHY,9629889691,371 North 1420 East,louisa@gmail.com,        08/02/2010,TRUE,1200,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/child1.jpg,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/parent2.jpg,female
